entity_label,start_position,end_position,correct_prediction,candidates,matching_candidate_index
US,391,393,True,"[[""United States"", 0.836, 0.27, 1.0, 0.015], [""California"", 0.748, 0.0, 0.69, 0.076], [""Democratic Party (United States)"", 0.864, 0.12, 0.645, -0.139], [""Republican Party (United States)"", 0.864, 0.12, 0.632, -0.149], [""United States Army"", 0.884, 0.2, 0.449, -0.148], [""US Boulogne"", 0.916, 0.31, 0.05, 0.107], [""New York (state)"", 0.748, 0.0, 0.667, -0.041], [""Americans"", 0.938, 0.0, 0.46, -0.046], [""US Orl\u00e9ans"", 0.916, 0.33, 0.0, -0.008], [""US Cr\u00e9teil-Lusitanos"", 0.916, 0.18, 0.069, 0.058]]",0
Hong Kong,405,414,True,"[[""Hong Kong"", 0, 1.0, 1.0, 0.232], [""British Hong Kong"", 0.811, 0.69, 0.584, 0.127], [""Hong Kong Rangers FC"", 0.866, 0.62, 0.472, 0.225], [""Hong Kong Pegasus FC"", 0.866, 0.62, 0.351, 0.279], [""Hong Kong national football team"", 0.866, 0.44, 0.412, 0.34], [""R&F (Hong Kong)"", 0.866, 0.75, 0.222, 0.219], [""University of Hong Kong"", 0.83, 0.56, 0.258, 0.243], [""Hong Kong national under-23 football team"", 0.866, 0.36, 0.288, 0.284], [""Central, Hong Kong"", 0, 0.67, 0.003, 0.232], [""Cinema of Hong Kong"", 0, 0.64, 0.0, 0.236]]",0
Japan,422,427,True,"[[""Japan"", 0.846, 1.0, 1.0, 0.223], [""Tokyo"", 0.855, 0.0, 0.63, 0.331], [""Empire of Japan"", 0.846, 0.5, 0.328, 0.122], [""Japan national football team"", 0.838, 0.3, 0.322, 0.33], [""Japan national under-20 football team"", 0.838, 0.24, 0.069, 0.284], [""Japan women's national football team"", 0.838, 0.24, 0.077, 0.272], [""Sony Music Entertainment Japan"", 0.79, 0.29, 0.0, 0.302], [""Cities of Japan"", 0, 0.5, 0.16, 0.273], [""Japan Standard Time"", 0, 0.42, 0.27, 0.213], [""List of towns in Japan"", 0, 0.37, 0.05, 0.286]]",0
Algeria,221,228,True,"[[""Algeria"", 0.836, 1.0, 0.944, 0.283], [""Algiers"", 0.848, 0.71, 0.474, 0.385], [""French Algeria"", 0.836, 0.67, 0.292, 0.356], [""Algeria national football team"", 0.916, 0.38, 0.597, 0.244], [""Alberta"", 0, 0.71, 1.0, 0.054], [""Algeria national under-23 football team"", 0.916, 0.3, 0.24, 0.27], [""Algeria national under-20 football team"", 0.916, 0.3, 0.125, 0.297], [""Communes of Algeria"", 0, 0.54, 0.628, 0.314], [""Constantine, Algeria"", 0.848, 0.52, 0.0, 0.087], [""Districts of Algeria"", 0, 0.52, 0.332, 0.24]]",0
Beirut,317,323,True,"[[""Beirut"", 0.848, 1.0, 0.756, 0.398], [""Portland, Oregon"", 0.848, 0.18, 1.0, 0.133], [""Racing Club Beirut"", 0.916, 0.5, 0.23, 0.365], [""Beirut (band)"", 0.891, 0.63, 0.0, 0.423], [""Nejmeh SC"", 0.916, 0.13, 0.509, 0.309], [""Beirut\u2013Rafic Hariri International Airport"", 0.846, 0.26, 0.173, 0.405], [""Ras Beirut"", 0, 0.75, 0.028, 0.415], [""American University of Beirut"", 0, 0.34, 0.373, 0.364], [""Homenmen Beirut"", 0, 0.57, 0.019, 0.041], [""2020 Beirut explosion"", 0, 0.44, 0.066, 0.041]]",0
Mohamed Al-Dura,434,449,False,"[[""Syria"", 0.967, 0.2, 0.724, 0.373], [""Morocco"", 0.967, 0.27, 0.701, 0.235], [""Insect"", 0, 0.1, 1.0, -0.038], [""Killing of Muhammad al-Durrah"", 0, 0.55, 0.361, 0.062], [""Mohammed al-Dura"", 0, 0.9, 0.0, 0.062], [""Mohamed Al-Dura"", 0, 0.87, 0.0, 0.062], [""Mohamed Al-Durah"", 0, 0.84, 0.0, 0.062], [""Affaire Mohammed al-Dura"", 0, 0.72, 0.0, 0.062], [""Affaire Mohamed al-Durah"", 0, 0.72, 0.0, 0.062], [""Affaire Mohamed Al-Durah"", 0, 0.67, 0.0, 0.062]]",3
Saida,690,695,True,"[[""Sidon"", 0.848, 0.6, 0.633, 0.382], [""Saipa F.C."", 0.915, 0.53, 1.0, -0.009], [""SaiPa"", 0.854, 0.8, 0.8, -0.089], [""MC Sa\u00efda"", 0.915, 0.62, 0.69, 0.125], [""Al Ahli Saida SC"", 0.915, 0.48, 0.466, 0.438], [""Sa\u00efda Province"", 0.857, 0.42, 0.425, 0.279], [""Sidon District"", 0.748, 0.32, 0.425, 0.282], [""Saida"", 0, 1.0, 0.0, 0.062], [""Saida Menebhi"", 0, 0.56, 0.121, 0.329], [""Saida Gunba"", 0, 0.62, 0.121, 0.107]]",0
Lebanon,712,719,True,"[[""Lebanon"", 0.836, 1.0, 1.0, 0.373], [""1982 Lebanon War"", 0.946, 0.61, 0.22, 0.524], [""2006 Lebanon War"", 0.946, 0.61, 0.235, 0.439], [""Lebanon national football team"", 0.916, 0.38, 0.539, 0.376], [""Beirut"", 0.848, 0.15, 0.739, 0.411], [""Mount Lebanon Governorate"", 0.858, 0.44, 0.321, 0.467], [""Lebanon, Pennsylvania"", 0.848, 0.5, 0.064, 0.29], [""Lebanon, Tennessee"", 0.848, 0.56, 0.0, 0.26], [""Lebanon, New Hampshire"", 0.848, 0.48, 0.0, 0.267], [""Lebanon County, Pennsylvania"", 0.748, 0.4, 0.032, 0.275]]",0
Jerusalem,626,635,True,"[[""Jerusalem"", 0.847, 1.0, 1.0, 0.282], [""Beitar Jerusalem F.C."", 0.915, 0.6, 0.857, 0.234], [""Hapoel Jerusalem F.C."", 0.915, 0.6, 0.541, 0.363], [""Hapoel Jerusalem B.C."", 0.854, 0.6, 0.44, 0.332], [""Hapoel Katamon Jerusalem F.C."", 0.915, 0.47, 0.354, 0.341], [""Kingdom of Jerusalem"", 0.835, 0.62, 0.07, 0.186], [""Agudat Sport Nordia Jerusalem"", 0.915, 0.47, 0.082, 0.242], [""Anglican Diocese of Jerusalem"", 0.731, 0.47, 0.063, 0.08], [""Hebrew University of Jerusalem"", 0, 0.46, 0.63, 0.223], [""East Jerusalem"", 0, 0.78, 0.0, 0.384]]",0
BBC News,5,13,True,"[[""BBC News"", 0.649, 1.0, 0.919, 0.118], [""BBC World News"", 0.776, 0.73, 0.887, 0.06], [""BBC World Service"", 0.74, 0.4, 1.0, 0.082], [""BBC News (TV channel)"", 0.776, 0.55, 0.736, 0.101], [""BBC Online"", 0.83, 0.56, 0.618, 0.055], [""BBC News Online"", 0.83, 0.7, 0.335, 0.128], [""BBC News at Ten"", 0.874, 0.7, 0.227, 0.145], [""BBC News at Six"", 0.874, 0.7, 0.145, 0.104], [""BBC News at One"", 0.874, 0.7, 0.114, 0.061], [""BBC News at Five"", 0.874, 0.67, 0.0, 0.13]]",0
London,17,23,True,"[[""London"", 0.848, 1.0, 1.0, -0.06], [""Greater London"", 0.748, 0.6, 0.381, 0.02], [""London, Ontario"", 0.848, 0.57, 0.186, -0.063], [""University of London"", 0.865, 0.46, 0.242, -0.05], [""London Underground"", 0.847, 0.5, 0.0, -0.056], [""London School of Economics"", 0, 0.38, 0.241, -0.001], [""University College London"", 0, 0.39, 0.206, -0.013], [""Imperial College London"", 0, 0.41, 0.115, -0.034], [""King's College London"", 0, 0.44, 0.116, -0.1], [""List of bus routes in London"", 0, 0.35, 0.153, -0.049]]",0
Ruth Bater Ginsburg,427,446,True,"[[""Ruth Bader Ginsburg"", 0.702, 0.95, 0.604, 0.383], [""National Garden of American Heroes"", 0, 0.3, 1.0, 0.032], [""Ruth Bader Ginsburg"", 0, 0.95, 0.0, 0.032], [""Ruth Bader Ginsburg"", 0, 0.95, 0.0, 0.032], [""Death and state funeral of Ruth Bader Ginsburg"", 0, 0.55, 0.375, 0.032], [""Ruth Joan Bader Ginsburg"", 0, 0.84, 0.0, 0.032], [""Joan Ruth Bader Ginsburg"", 0, 0.84, 0.0, 0.032], [""Statue of Ruth Bader Ginsburg"", 0, 0.75, 0.0, 0.032], [""John Lewis-class replenishment oiler"", 0, 0.25, 0.417, 0.032], [""Shana Knizhnik"", 0, 0.3, 0.113, 0.128]]",0
Sandra Day O'Connor,562,581,True,"[[""Sandra Day O'Connor"", 0.7, 1.0, 0.318, 0.301], [""Sandra Day O'Connor College of Law"", 0.978, 0.72, 0.322, 0.279], [""Democratic Party (United States)"", 0.902, 0.27, 1.0, -0.006], [""Sandra Day O'Connor High School (Arizona)"", 0.978, 0.63, 0.111, 0.23], [""Sandra Day O'Connor High School (Texas)"", 0.978, 0.66, 0.163, 0.087], [""Sandra Day O'Connor United States Courthouse"", 0, 0.6, 0.07, 0.376], [""Sandra Day O'Connor"", 0, 1.0, 0.0, 0.036], [""Sandra Day O'Connor"", 0, 1.0, 0.0, 0.036], [""Sandra Day O'connor"", 0, 0.95, 0.0, 0.036], [""Sandra Day O'Connor High School"", 0, 0.76, 0.07, 0.095]]",0
Washington,523,533,True,"[[""Washington, D.C."", 0.848, 0.77, 1.0, -0.001], [""Washington (state)"", 0.748, 0.71, 0.786, 0.055], [""Tacoma, Washington"", 0.848, 0.71, 0.346, -0.014], [""Spokane, Washington"", 0.848, 0.69, 0.338, 0.013], [""Washington Capitals"", 0.854, 0.69, 0.418, -0.096], [""Seattle"", 0.848, 0.24, 0.647, 0.013], [""Washington"", 0, 1.0, 0.0, 0.026], [""University of Washington"", 0, 0.59, 0.47, -0.041], [""George Washington University"", 0, 0.53, 0.411, -0.005], [""Washington University in St. Louis"", 0, 0.45, 0.224, 0.072]]",0
Bandar Seri Begawan,0,19,True,"[[""Bandar Seri Begawan"", 0.913, 1.0, 0.839, 0.152], [""Pusat Bandar, Brunei"", 0.908, 0.46, 0.289, 0.115], [""1999 Southeast Asian Games"", 0.914, 0.27, 0.349, 0.008], [""List of diplomatic missions of Russia"", 0, 0.21, 1.0, 0.285], [""List of diplomatic missions of India"", 0, 0.22, 0.889, 0.04], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.129], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.129], [""Embassy of the Philippines, Bandar Seri Begawan"", 0, 0.58, 0.124, 0.217], [""Flughafen Bandar Seri Begawan"", 0, 0.79, 0.0, 0.129], [""Deutsche Botschaft Bandar Seri Begawan"", 0, 0.67, 0.0, 0.129]]",0
AFP,26,29,False,"[[""AFC Ajax"", 0.694, 0.36, 0.937, -0.072], [""Sunderland A.F.C."", 0.694, 0.2, 1.0, -0.11], [""AFC Wimbledon"", 0.694, 0.25, 0.806, -0.048], [""Armed Forces of the Philippines"", 0.691, 0.18, 0.463, 0.329], [""Alpha-fetoprotein"", 0.883, 0.1, 0.345, 0.176], [""Agence France-Presse"", 0.652, 0.26, 0.356, 0.231], [""AFP"", 0, 1.0, 0.056, 0.129], [""AFP-L3"", 0, 0.67, 0.0, 0.129], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.191], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.129]]",5
Iran,616,620,True,"[[""Iran"", 0.836, 1.0, 1.0, 0.072], [""Tehran"", 0.848, 0.6, 0.445, 0.003], [""Iran\u2013Iraq War"", 0.946, 0.47, 0.132, 0.166], [""Iran national football team"", 0.916, 0.26, 0.284, 0.032], [""Iran Standard Time"", 0, 0.36, 0.973, 0.095], [""Iran national under-20 football team"", 0.916, 0.2, 0.138, 0.152], [""Iran national under-23 football team"", 0.916, 0.2, 0.163, 0.119], [""Iran national under-17 football team"", 0.916, 0.2, 0.041, 0.149], [""Counties of Iran"", 0, 0.4, 0.129, 0.02], [""Iran national futsal team"", 0, 0.28, 0.0, -0.005]]",0
Hong Kong,87,96,True,"[[""Hong Kong"", 0, 1.0, 1.0, 0.321], [""British Hong Kong"", 0.678, 0.69, 0.584, 0.242], [""Hong Kong Rangers FC"", 0.708, 0.62, 0.472, 0.181], [""Hong Kong Pegasus FC"", 0.708, 0.62, 0.351, 0.227], [""Hong Kong national football team"", 0.708, 0.44, 0.412, 0.291], [""R&F (Hong Kong)"", 0.708, 0.75, 0.222, 0.166], [""University of Hong Kong"", 0.684, 0.56, 0.258, 0.292], [""Hong Kong national under-23 football team"", 0.708, 0.36, 0.288, 0.246], [""Cinema of Hong Kong"", 0, 0.64, 0.0, 0.394], [""Central, Hong Kong"", 0, 0.67, 0.003, 0.169]]",0
Asia,119,123,True,"[[""Asia"", 0.724, 1.0, 0.128, 0.243], [""Philippines"", 0.768, 0.13, 0.748, 0.165], [""Spanish language"", 0.866, 0.2, 0.571, -0.036], [""South Asia"", 0.724, 0.57, 0.0, 0.188], [""Southeast Asia"", 0.724, 0.44, 0.139, 0.171], [""Georgia (country)"", 0.768, 0.19, 0.388, -0.001], [""Iran Standard Time"", 0, 0.09, 1.0, 0.007], [""Azerbaijan Time"", 0, 0.32, 0.564, 0.025], [""Time in Thailand"", 0, 0.2, 0.396, 0.215], [""Philippine Standard Time"", 0, 0.14, 0.428, 0.126]]",0
Philippines,566,577,True,"[[""Philippines"", 0.835, 1.0, 1.0, 0.322], [""Manila"", 0.847, 0.24, 0.534, 0.238], [""Philippines national football team"", 0.915, 0.49, 0.15, 0.276], [""Commonwealth of the Philippines"", 0.835, 0.52, 0.089, 0.301], [""Captaincy General of the Philippines"", 0.835, 0.47, 0.185, 0.183], [""Philippine Standard Time"", 0, 0.57, 0.579, 0.187], [""Liberal Party (Philippines)"", 0, 0.58, 0.095, 0.336], [""University of the Philippines"", 0, 0.55, 0.07, 0.282], [""Cities of the Philippines"", 0, 0.61, 0.0, 0.204], [""Barangay"", 0, 0.11, 0.25, 0.204]]",0
Taiwan,578,584,True,"[[""Taiwan"", 0.836, 1.0, 1.0, 0.32], [""Taipei"", 0.848, 0.5, 0.693, 0.212], [""Tainan"", 0.848, 0.83, 0.305, 0.141], [""Taiwan Railways Administration"", 0.847, 0.33, 0.405, 0.226], [""Taiwan under Japanese rule"", 0.836, 0.38, 0.232, 0.299], [""Taiwan Province"", 0.748, 0.57, 0.014, 0.277], [""Taiwan Television"", 0.908, 0.52, 0.0, 0.16], [""National Taiwan University"", 0, 0.38, 0.417, 0.218], [""District (Taiwan)"", 0, 0.52, 0.195, 0.148], [""Township (Taiwan)"", 0, 0.52, 0.225, 0.017]]",0
Indonesia,589,598,True,"[[""Indonesia"", 0.836, 1.0, 0.672, 0.228], [""Indonesian language"", 0.846, 0.64, 0.263, 0.192], [""Indonesia national football team"", 0.916, 0.44, 0.31, 0.222], [""Indonesia\u2013Malaysia confrontation"", 0.946, 0.44, 0.095, 0.295], [""Indonesia national under-23 football team"", 0.916, 0.36, 0.269, 0.212], [""University of Indonesia"", 0.865, 0.56, 0.0, 0.208], [""Indonesia national under-17 football team"", 0.916, 0.36, 0.069, 0.206], [""Village"", 0, 0.25, 1.0, 0.037], [""Time in Indonesia"", 0, 0.69, 0.337, 0.185], [""Government of Indonesia"", 0, 0.56, 0.073, 0.181]]",0
Chen Shui-bian,724,738,True,"[[""Chen Shui-bian"", 0.729, 0.93, 0.701, 0.373], [""YouTube"", 1.022, 0.19, 1.0, 0.105], [""Su Tseng-chang"", 0.701, 0.36, 0.59, 0.343], [""Frank Hsieh"", 0.701, 0.24, 0.586, 0.364], [""Chinese numismatic charm"", 0, 0.42, 0.952, 0.127], [""List of fictional people of the Three Kingdoms"", 0, 0.23, 0.727, 0.154], [""Chen Shui-bian corruption charges"", 0, 0.55, 0.0, 0.455], [""Chen Shui-bian"", 0, 0.93, 0.0, 0.017], [""Chen Shui-bian"", 0, 0.93, 0.0, 0.017], [""Million Voices Against Corruption, President Chen Must Go"", 0, 0.23, 0.316, 0.331]]",0
Malaysia,834,842,True,"[[""Malaysia"", 0.836, 1.0, 1.0, 0.288], [""Malaysia national football team"", 0.916, 0.41, 0.547, 0.239], [""Sarawak"", 0.857, 0.4, 0.457, 0.283], [""Kuala Lumpur"", 0.848, 0.3, 0.592, 0.233], [""Prasarana Malaysia"", 0.865, 0.62, 0.191, 0.186], [""Malaysia national under-23 football team"", 0.916, 0.33, 0.343, 0.205], [""Indonesia\u2013Malaysia confrontation"", 0.946, 0.4, 0.126, 0.295], [""People's Justice Party (Malaysia)"", 0.863, 0.39, 0.112, 0.296], [""Malaysia national under-19 football team"", 0.916, 0.33, 0.0, 0.205], [""Government of Malaysia"", 0, 0.53, 0.038, 0.164]]",0
South Korea,847,858,True,"[[""South Korea"", 0.821, 1.0, 1.0, 0.264], [""Korean War"", 0.929, 0.48, 0.695, 0.257], [""Seoul"", 0.833, 0.38, 0.757, 0.323], [""South Korea national football team"", 0.899, 0.49, 0.565, 0.328], [""South Korea national under-20 football team"", 0.899, 0.41, 0.502, 0.219], [""South Korea national under-23 football team"", 0.899, 0.41, 0.488, 0.174], [""South Korea women's national football team"", 0.899, 0.42, 0.167, 0.276], [""Munhwa Broadcasting Corporation"", 0.851, 0.29, 0.393, 0.212], [""National Assembly (South Korea)"", 0.807, 0.52, 0.0, 0.197], [""Gangwon Province, South Korea"", 0.737, 0.55, 0.013, 0.198]]",0
Singapore,627,636,True,"[[""Singapore"", 0.836, 1.0, 1.0, 0.299], [""Singapore FA"", 0.916, 0.86, 0.069, 0.29], [""Singapore national football team"", 0.916, 0.44, 0.518, 0.259], [""Albirex Niigata Singapore FC"", 0.916, 0.49, 0.484, 0.061], [""Singapore Slingers"", 0.855, 0.67, 0.0, 0.229], [""National Football Academy (Singapore)"", 0.855, 0.39, 0.318, 0.143], [""Mass Rapid Transit (Singapore)"", 0.847, 0.46, 0.148, 0.221], [""Private university"", 0, 0.22, 0.921, 0.059], [""National University of Singapore"", 0, 0.44, 0.36, 0.153], [""Government of Singapore"", 0, 0.56, 0.167, 0.223]]",0
Bloomberg News,785,799,True,"[[""Bloomberg News"", 0.654, 1.0, 0.323, 0.112], [""American Broadcasting Company"", 0.746, 0.23, 0.99, 0.068], [""Bloomberg Radio"", 0.797, 0.69, 0.408, 0.045], [""Wiley (publisher)"", 0.693, 0.26, 0.612, -0.003], [""The Shed (arts center)"", 0.802, 0.22, 0.332, -0.076], [""Journalist"", 0, 0.25, 1.0, -0.016], [""Bloomberg News"", 0, 1.0, 0.0, 0.027], [""Bloomberg News"", 0, 1.0, 0.0, 0.027], [""Sugary drinks portion cap rule"", 0, 0.18, 0.269, 0.066], [""New Contemporaries"", 0, 0.31, 0.134, -0.057]]",0
China,623,628,True,"[[""China"", 0.833, 1.0, 1.0, 0.281], [""Taiwan"", 0.833, 0.36, 0.732, 0.326], [""Beijing"", 0.845, 0.33, 0.531, 0.236], [""South China AA"", 0.91, 0.53, 0.14, 0.26], [""China national football team"", 0.91, 0.3, 0.259, 0.089], [""Republic of China (1912\u20131949)"", 0.833, 0.29, 0.145, 0.109], [""China national under-20 football team"", 0.91, 0.24, 0.0, 0.148], [""China national under-23 football team"", 0.91, 0.24, 0.018, 0.115], [""Hong Kong"", 0, 0.14, 0.703, 0.372], [""District (China)"", 0, 0.48, 0.136, 0.117]]",0
Bandar Seri Begawan,0,19,True,"[[""Bandar Seri Begawan"", 0.917, 1.0, 0.839, 0.325], [""Pusat Bandar, Brunei"", 0.912, 0.46, 0.289, 0.271], [""1999 Southeast Asian Games"", 0.918, 0.27, 0.349, 0.323], [""List of diplomatic missions of Russia"", 0, 0.21, 1.0, 0.339], [""List of diplomatic missions of India"", 0, 0.22, 0.889, 0.186], [""Embassy of the Philippines, Bandar Seri Begawan"", 0, 0.58, 0.124, 0.442], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.071], [""Bandar Seri Begawan"", 0, 1.0, 0.0, 0.071], [""Flughafen Bandar Seri Begawan"", 0, 0.79, 0.0, 0.071], [""Deutsche Botschaft Bandar Seri Begawan"", 0, 0.67, 0.0, 0.071]]",0
AFP,26,29,False,"[[""AFC Ajax"", 0.697, 0.36, 0.937, -0.014], [""Sunderland A.F.C."", 0.697, 0.2, 1.0, 0.001], [""AFC Wimbledon"", 0.697, 0.25, 0.806, 0.048], [""Armed Forces of the Philippines"", 0.694, 0.18, 0.463, 0.333], [""Agence France-Presse"", 0.654, 0.26, 0.356, 0.171], [""Alpha-fetoprotein"", 0.891, 0.1, 0.345, 0.071], [""AFP"", 0, 1.0, 0.056, 0.071], [""Armed Forces of the Philippines Medal of Valor"", 0, 0.12, 0.423, 0.206], [""AFP-L3"", 0, 0.67, 0.0, 0.071], [""AFP Visayas Command"", 0, 0.27, 0.0, 0.071]]",4
Russia,91,97,True,"[[""Russia"", 0.836, 1.0, 1.0, 0.219], [""Russian Empire"", 0.836, 0.6, 0.562, 0.183], [""Soviet Union"", 0.836, 0.11, 0.77, 0.186], [""Moscow"", 0.748, 0.17, 0.605, 0.138], [""Russian Soviet Federative Socialist Republic"", 0.836, 0.24, 0.225, 0.201], [""Russia national football team"", 0.916, 0.34, 0.006, 0.231], [""Russia national under-19 football team"", 0.916, 0.27, 0.034, 0.246], [""Russia national under-17 football team"", 0.916, 0.27, 0.0, 0.264], [""Vologda Oblast"", 0.748, 0.1, 0.517, 0.053], [""Saint Petersburg"", 0.748, 0.09, 0.324, 0.116]]",0
Brunei,542,548,True,"[[""Brunei"", 0.836, 1.0, 1.0, 0.236], [""Brunei national football team"", 0.915, 0.34, 0.647, 0.164], [""Brunei-Muara District"", 0.748, 0.44, 0.566, 0.193], [""DPMM FC"", 0.915, 0.0, 0.709, 0.221], [""Brunei national under-21 football team"", 0.915, 0.27, 0.443, 0.158], [""Brunei national under-23 football team"", 0.915, 0.27, 0.416, 0.157], [""Tabuan Muda"", 0.915, 0.24, 0.395, 0.195], [""Brunei Malay"", 0.846, 0.67, 0.0, 0.063], [""Villages of Brunei"", 0, 0.5, 0.59, 0.172], [""Brunei\u2013United States relations"", 0, 0.33, 0.151, 0.293]]",0
Irkotsik,621,629,True,"[[""Irkutsk"", 0.849, 0.8, 0.855, 0.229], [""FC Zvezda Irkutsk"", 0.906, 0.48, 1.0, 0.207], [""FC Baikal Irkutsk"", 0.906, 0.48, 0.819, 0.198], [""FC Zenit Irkutsk"", 0.906, 0.5, 0.627, 0.228], [""Irkutsk Oblast"", 0.741, 0.55, 0.696, 0.252], [""Irkutsk State University"", 0.858, 0.38, 0.167, 0.233], [""International Airport Irkutsk"", 0.837, 0.32, 0.135, 0.267], [""Irkutsk Hydroelectric Power Station"", 0.839, 0.28, 0.054, 0.226], [""Irkutsk Time"", 0, 0.6, 0.195, 0.307], [""Irkutsk Governorate"", 0, 0.44, 0.0, 0.296]]",0
Xinhua News Agency,0,18,True,"[[""Xinhua News Agency"", 0.659, 1.0, 0.439, 0.465], [""American Broadcasting Company"", 0.749, 0.3, 0.99, 0.198], [""NASA"", 0.681, 0.18, 0.837, 0.114], [""News agency"", 0, 0.69, 0.597, 0.134], [""News"", 0, 0.36, 0.803, 0.084], [""Journalist"", 0, 0.21, 1.0, 0.027], [""News presenter"", 0, 0.44, 0.713, 0.049], [""Associated Press"", 0, 0.29, 0.761, 0.077], [""Xinhua News Agency Macao Branch"", 0, 0.73, 0.0, 0.381], [""Xinhua News Agency"", 0, 1.0, 0.0, -0.016]]",0
Beijing,19,26,True,"[[""Beijing"", 0.843, 1.0, 0.693, 0.363], [""China"", 0.832, 0.33, 1.0, 0.288], [""Beijing Film Academy"", 0.86, 0.52, 0.149, 0.29], [""Beijing Subway"", 0.842, 0.67, 0.016, 0.289], [""Beijing Ducks"", 0.849, 0.7, 0.0, 0.266], [""Beijing Sport University F.C."", 0.909, 0.39, 0.104, 0.367], [""Beijing Institute of Technology F.C."", 0.909, 0.33, 0.058, 0.389], [""Beijing Guoan Talent Singapore FC"", 0.909, 0.35, 0.075, 0.316], [""Chaoyang District, Beijing"", 0.744, 0.42, 0.068, 0.257], [""Beijing Guoan F.C."", 0, 0.56, 0.278, -0.016]]",0
US,86,88,True,"[[""United States"", 0.836, 0.27, 1.0, 0.058], [""United States Army"", 0.884, 0.2, 0.449, 0.035], [""Republican Party (United States)"", 0.864, 0.12, 0.632, -0.099], [""Democratic Party (United States)"", 0.864, 0.12, 0.645, -0.142], [""California"", 0.748, 0.0, 0.69, 0.037], [""New York (state)"", 0.748, 0.0, 0.667, -0.01], [""US Boulogne"", 0.916, 0.31, 0.05, 0.095], [""Americans"", 0.938, 0.0, 0.46, -0.029], [""US Orl\u00e9ans"", 0.916, 0.33, 0.0, 0.084], [""US Cr\u00e9teil-Lusitanos"", 0.916, 0.18, 0.069, 0.065]]",0
Jiangsu Province,149,165,True,"[[""Jiangsu"", 0.748, 0.61, 1.0, 0.224], [""Jiangxi"", 0.748, 0.52, 0.829, 0.34], [""Nanjing"", 0.848, 0.35, 0.828, 0.252], [""Suzhou"", 0.848, 0.18, 0.7, 0.276], [""Yangzhou"", 0.848, 0.33, 0.489, 0.271], [""Xuzhou"", 0.848, 0.18, 0.514, 0.391], [""Wenzhou"", 0.848, 0.17, 0.573, 0.244], [""Suzhou High School"", 0.883, 0.24, 0.034, 0.253], [""Jiangsu Performing Arts Group"", 0, 0.58, 0.0, 0.255], [""Jiangsu High People's Court"", 0, 0.51, 0.087, 0.237]]",0
China,203,208,True,"[[""China"", 0.836, 1.0, 1.0, 0.269], [""Taiwan"", 0.836, 0.36, 0.732, 0.197], [""Beijing"", 0.848, 0.33, 0.531, 0.354], [""South China AA"", 0.915, 0.53, 0.14, 0.245], [""China national football team"", 0.915, 0.3, 0.259, 0.338], [""China national under-23 football team"", 0.915, 0.24, 0.018, 0.348], [""Republic of China (1912\u20131949)"", 0.836, 0.29, 0.145, 0.22], [""China national under-20 football team"", 0.915, 0.24, 0.0, 0.336], [""Hong Kong"", 0, 0.14, 0.703, 0.225], [""District (China)"", 0, 0.48, 0.136, 0.209]]",0
Japan,604,609,True,"[[""Japan"", 0.836, 1.0, 1.0, 0.094], [""Empire of Japan"", 0.836, 0.5, 0.328, 0.093], [""Japan national football team"", 0.916, 0.3, 0.322, 0.09], [""Tokyo"", 0.848, 0.0, 0.63, 0.06], [""Japan national under-20 football team"", 0.916, 0.24, 0.069, 0.134], [""Japan women's national football team"", 0.916, 0.24, 0.077, 0.066], [""Sony Music Entertainment Japan"", 0.865, 0.29, 0.0, 0.038], [""Cities of Japan"", 0, 0.5, 0.16, 0.15], [""Japan Standard Time"", 0, 0.42, 0.27, 0.08], [""List of towns in Japan"", 0, 0.37, 0.05, 0.085]]",0
South Korea,610,621,True,"[[""South Korea"", 0.828, 1.0, 1.0, 0.13], [""Seoul"", 0.84, 0.38, 0.757, 0.297], [""Korean War"", 0.935, 0.48, 0.695, 0.141], [""South Korea national football team"", 0.905, 0.49, 0.565, 0.184], [""South Korea national under-20 football team"", 0.905, 0.41, 0.502, 0.163], [""South Korea national under-23 football team"", 0.905, 0.41, 0.488, 0.153], [""Munhwa Broadcasting Corporation"", 0.855, 0.29, 0.393, 0.255], [""South Korea women's national football team"", 0.905, 0.42, 0.167, 0.105], [""Gangwon Province, South Korea"", 0.744, 0.55, 0.013, 0.269], [""National Assembly (South Korea)"", 0.811, 0.52, 0.0, 0.105]]",0
Taiwan,626,632,True,"[[""Taiwan"", 0.836, 1.0, 1.0, 0.251], [""Taipei"", 0.848, 0.5, 0.693, 0.215], [""Tainan"", 0.848, 0.83, 0.305, 0.216], [""Taiwan Railways Administration"", 0.847, 0.33, 0.405, 0.276], [""Taiwan Television"", 0.908, 0.52, 0.0, 0.238], [""Taiwan under Japanese rule"", 0.836, 0.38, 0.232, 0.194], [""Taiwan Province"", 0.748, 0.57, 0.014, 0.27], [""National Taiwan University"", 0, 0.38, 0.417, 0.171], [""District (Taiwan)"", 0, 0.52, 0.195, 0.156], [""Township (Taiwan)"", 0, 0.52, 0.225, -0.017]]",0
